Book,Author,Tier,Date started,Date Finished,Pages,Publisher,Original Publication Date
Dirk Gently's Holistic Detective Agency, Douglas Adams, 3, 12/11/2020, 17/11/2020, 247, Pan Books, 1987
The Long Dark Tea-Time of the Soul, Douglas Adams, 3, 17/11/2020, 26/11/2020, 247, Pan Books, 1988
Doctor Sax, Jack Kerouac, 3, 26/11/2020, 26/12/2020, 219, Penguin Classics, 1959
Humble Pi: A Comedy of Maths Error, Matt Parker, 3, 26/12/2020, 09/01/2021, 314, Penguin Books, 2019
Sense and Sensibility, Jane Austen, 3, 09/01/2021, 01/02/2021, 353, Penguin Classics, 1811
The Trainable Cat, John Bradshaw & Sarah Ellis, , 18/01/2021,-, , ,
"Life, The Universe and Everything", Douglas Adams, 2, 02/02/2021, 10/02/2021, 199, Picador, 1982
"So Long, And Thanks For All The Fish", Douglas Adams, 2, 11/02/2021, 18/02/2021, 167, Picador, 1984
Mostly Harmless, Douglas Adams, 3, 18/02/2021, 01/03/2021, 219, Pan Books, 1992
Chamber Music: About the Wu-Tang (in 36 Pieces), Will Ashon, 3, 02/03/2021, 17/03/2021, 334, Granta Books, 2018
Cash, Johnny Cash & Patrick Carr, 3, 17/03/2021, 29/03/2021,  335, Harper Collins, 1997
Abigail, Magda Szabó, 1, 30/03/2021, 12/04/2021, 333, New York Review Books, 1970
Don't Touch My Hair, Emma Dabiri, 2, 13/04/2021, 26/04/2021, 234, Penguin Books, 2019
Complete Stories, Clarice Lispector, 3, 15/04/2021, 09/06/2021, 643, Penguin Books, 2015
Ancillary Justice, Ann Leckie, 3, 09/06/2021, 28/06/2021, 384, Orbit, 2013
War and Peace, Leo Tolstoy, 2, 29/06/2021, 26/09/2021, , Penguin Classics, 1869
Brave New World, Aldous Huxley, 3, 20/09/2021, 06/10/2021, , ,
Crisis of the Real, Andy Grundberg, 2, 11/10/2021, 15/11/2021, 273, Aperture Foundation, 1999
A Brief Guide to Philosophical Classics: From Plato to Winnie the Pooh, James M. Russell, 2, 28/10/2021, 26/11/2021, 286, Robinson, 2007
Tusk, Rob Trucks, 3, 24/11/2021, 31/12/2021, 131, Bloomsbury Academic, 2011
Nineteen Eighty-Four, George Orwell, 1, 27/11/2021, 31/12/2021, 251, Penguin Books, 1949
The Doors of Perception & Heaven and Hell, Aldous Huxley, 3, 14/12/2021, 29/12/2021, 143, Triad/Panther Books, 1960
